id,platforms
3841,"Xbox 360, Xbox One, PC, Nintendo Switch, Wii U, PlayStation 3, PlayStation 4"
10989,"macOS, PC, PlayStation 4, Xbox One, Nintendo Switch"
3790,"Linux, macOS, Nintendo Switch, PC, Xbox One, PlayStation 4"
290856,"PlayStation 4, Nintendo Switch, macOS, PC, Xbox One"
2462,"PlayStation 5, PlayStation 4"
654,"Nintendo Switch, Xbox One, PC, iOS, macOS, Linux, PlayStation 4, PS Vita, Android"
13910,"PC, Android, iOS, Xbox 360, PlayStation 3, macOS"
5525,"Xbox 360, PlayStation 3, Xbox One, iOS, PC, Linux, macOS"
9830,"Xbox One, Android, iOS, PC, macOS, Nintendo Switch, PlayStation 4"
3687,"Xbox One, Wii U, Xbox 360, PlayStation 3, PlayStation 4, PC"
9743,"PlayStation 4, Linux, macOS, PC, Nintendo Switch, Xbox One"
23585,"PlayStation 4, PC, Xbox One"
18240,"PlayStation 3, Xbox One, iOS, Nintendo Switch, Xbox 360, PlayStation 4, Android, PC"
3603,"PlayStation 4, Xbox One, Nintendo Switch, PC, macOS, Linux"
4280,"PlayStation 3, PC, Xbox 360, macOS"
10065,"Xbox One, PC, macOS, Linux, Nintendo Switch, PlayStation 4"
1416,"PlayStation 3, Xbox 360, PC, Xbox One"
28179,"PlayStation 4, macOS, Linux, Xbox One, Nintendo Switch, PC"
22509,"Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Nintendo 3DS, Nintendo Switch, macOS, PC, iOS, Wii U, Xbox One, Linux"
51329,"Xbox One, PC, PlayStation 4, macOS, Linux"
1450,"Nintendo Switch, PC, iOS, macOS, Xbox One, PlayStation 4"
422,"Xbox 360, Wii U, Nintendo 3DS, Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, PlayStation 3, PS Vita, Android"
2743,"PC, PlayStation 4, PlayStation 3"
23027,"Android, PS Vita, macOS, PC, iOS, PlayStation 4, PlayStation 3, Xbox 360, Nintendo Switch, Xbox One"
3678,"Xbox One, PC, macOS, Linux, PlayStation 4"
4502,"PlayStation 3, Xbox One, Xbox 360, Nintendo Switch, PC"
2819,"macOS, Linux, Nintendo Switch, PlayStation 4, Xbox One, PC"
923,"Xbox One, PlayStation 4, PC"
50734,"Xbox One, PC, PlayStation 4"
8488,"Xbox One, PC, PlayStation 4, Xbox Series S/X, PlayStation 5"
28201,"PC, PlayStation 5, Xbox One, PlayStation 4"
613,"PlayStation 4, PS Vita, Xbox One, PC, iOS, Linux, Nintendo Switch, Xbox 360, macOS"
4223,"PlayStation 3, macOS, PC, Xbox 360, Xbox One"
58616,"PlayStation 4, PC, Xbox One, Nintendo Switch"
28153,"Xbox One, PC, PlayStation 4"
58654,"Xbox One, PC, PlayStation 4"
998,"Xbox One, PC, PlayStation 4"
9810,"Nintendo Switch, Xbox One, PlayStation 4, Linux, macOS, PC, iOS"
2093,"Nintendo Switch, Xbox One, PC, PlayStation 4, PlayStation 5"
58751,"Xbox One, PC, Xbox Series S/X"
